168	CAMCambodia	105(104.71)	103	3		45.54	45.54	70.00	35.00	31.63	9.49	73.41	14.68	
170	MASMalaysia	104(103.65)	95	8		28.48	28.48	86.77	43.38	74.38	22.31	47.40	9.48	
171	GRNGrenada	103(103.13)	126	-12		50.36	50.36	21.25	10.63	101.68	30.50	58.18	11.64	
172	SINSingapore	102(102.15)	103	-1		29.88	29.88	39.79	19.89	137.77	41.33	55.25	11.05	
173	MDAMoldova	98(97.52)	105	-3		41.78	41.78	44.74	22.37	49.12	14.73	93.18	18.64	
174	VINSt Vincent and the Grenadines	95(94.53)	100	1		34.00	34.00	0.00	0.00	91.48	27.44	165.43	33.09	
175	GAMGambia	94(94.44)	120	-11		37.40	37.40	46.92	23.46	83.02	24.91	43.35	8.67	
176	KUWKuwait	88(88.45)	101	-3		30.03	30.03	0.00	0.00	140.20	42.06	81.79	16.36	
176	DMADominica	88(88.05)	112	-10		51.00	51.00	0.00	0.00	84.15	25.25	59.03	11.81	
178	BERBermuda	82(82.49)	78	6		34.00	34.00	0.00	0.00	53.98	16.19	161.50	32.30	
179	LAOLaos	80(79.69)	82	4		21.25	21.25	59.20	29.60	63.57	19.07	48.85	9.77	
180	PNGPapua New Guinea	78(78.41)	126	-21		0.00	0.00	141.53	70.76	25.50	7.65	0.00	0.00	
181	LIELiechtenstein	77(76.7)	91	0		40.17	40.17	0.00	0.00	26.87	8.06	142.31	28.46	
182	CUBCuba	75(74.88)	88	0		14.28	14.28	0.00	0.00	116.68	35.00	127.99	25.60	
182	ARUAruba	75(74.85)	92	-2		0.00	0.00	0.00	0.00	161.50	48.45	132.00	26.40	
184	BHUBhutan	68(68)	63	4		0.00	0.00	85.00	42.50	0.00	0.00	127.50	25.50	
185	MLTMalta	62(61.65)	68	0		24.75	24.75	10.27	5.14	72.64	21.79	49.85	9.97	
186	MACMacau	60(60.11)	65	0		18.21	18.21	53.13	26.56	8.50	2.55	63.92	12.78	
187	STPSão Tomé e Príncipe	59(58.97)	94	-8		0.00	0.00	0.00	0.00	196.56	58.97	0.00	0.00	
188	MNGMongolia	51(51)	49	1		8.50	8.50	34.00	17.00	0.00	0.00	127.50	25.50	
